dim,coef
0,0.004236995464511995
1,0.004380706023654321
2,0.004401197599599764
3,-0.0029726176194583573
4,-0.00469245615697561
5,0.001404078470568281
6,0.004485054485986476
7,-1.5621948095734305e-05
8,-0.0022732321061471575
9,-0.004127616005681688
10,0.004407788204014491
11,0.003491919974160629
12,0.0044419552975638234
13,-0.0027774567771459385
14,-0.0038617451603317173
15,0.004179888960271739
16,0.004329840649940527
17,-0.001729862048060435
18,-0.00350201710192933
19,-0.004215978945699014
20,-0.003053511255253602
21,-0.004051601533076161
22,0.0020092425781794176
23,0.004565461254156015
24,-0.002342303930253151
25,0.0041443189324546536
26,0.004402482477133959
27,-0.004176142776504673
28,0.0012206827652173798
29,-0.0032533523899716203
30,0.004686856763855629
31,0.004498107359799703
32,-0.003518555300797045
33,-0.0037629950252723444
34,-0.004330078885533728
35,-0.004165108542583402
36,-0.003309558964306361
37,-0.004328054137923448
38,0.004857128377588799
39,0.0025497500692823515
40,-0.0037832676297961227
41,-0.000646056651167158
42,-0.004337133059661649
43,-0.004413772467246114
44,0.003309734942363277
45,-0.0014753592618426438
46,0.0041440665764295205
47,0.003700122473656191
48,0.00115725511291606
49,-0.002768072896314116
50,-0.004590503132911268
51,0.0031944091469282778
52,0.004228088274576589
53,-0.0012284101870842028
54,-0.0015233343546485632
55,0.002762706439719739
56,-0.001887529685681229
57,-0.004500040208544385
58,-0.0011508024883351495
59,0.002536325430203232
60,0.0010348632492793333
61,-0.0015103462325743574
62,-0.004450277908261159
63,-0.0019015260379046672
64,-0.004248748047551133
65,0.0026138995525546655
66,-0.004224093408848569
67,0.00440032409098029
68,-0.004557532108874336
69,-0.002049078130275967
70,0.0018765612097101404
71,-0.00421816223035216
72,0.002995053578350739
73,-0.003672192315824906
74,-0.002535013782166519
75,-0.0040822359527995285
76,0.004003341714898153
77,-0.0020565705201203975
78,0.004176451849288558
79,-0.00451378674529973
80,0.004599346583275198
81,8.44468757361393e-05
82,0.003609859063181199
83,-0.004258634202096437
84,-0.0013718535414524924
85,-0.004765315808600289
86,0.00012027386680135097
87,0.002975616179254833
88,-0.003576310299282908
89,0.0038164245414225957
90,0.004317351089246451
91,-0.004643168609470673
92,-0.0046606307914976615
93,-0.0008765853890021971
94,-0.00428791032360311
95,0.004102209938629798
96,0.00378002811354242
97,0.002588151458126423
98,0.003953017734831852
99,-0.004118872156188895
100,0.0024927253974924824
101,0.004271684861803568
102,0.00018662792347807247
103,0.003970877000128522
104,0.001024358922888293
105,0.004232077157353718
106,0.004680013147036762
107,0.004084393851561513
108,-0.0026034831946692228
109,0.004275632573687824
110,-0.001450116662203542
111,0.004230577231018621
112,-0.004417672488730465
113,-0.0023958324252356064
114,0.004514007766195551
115,0.004600763154942166
116,-0.003480206555551033
117,-0.0036089253321038434
118,-0.003637142093416569
119,0.003521490708628785
120,-0.003240505355767028
121,0.0012230202850883535
122,0.003058623362714213
123,-0.0015742148697201975
124,-0.004623388512064127
125,-0.0023938829137017514
126,0.0019896614429694972
127,-0.00206146922607835
128,-0.0012568995128695922
129,0.004612957056750862
130,0.0007345633862808775
131,-0.003152290026582759
132,-0.003141886777732669
133,-0.0034547992079964943
134,0.004626355681875845
135,0.00407951932479267
136,-0.002914250911614526
137,0.0039802661985332225
138,0.004485237152140456
139,-0.0017842773482518745
140,-0.0013491709696455026
141,-0.004072809333353861
142,0.0029209949129895903
143,0.003987847436091633
144,-0.0027997634768066513
145,-0.003726813301492975
146,-0.004495824358712061
147,0.004515331061325308
148,-0.004012664706077396
149,0.004608686946424825
150,-0.0038913262437365874
151,0.004274313394789543
152,-0.0021559566841859346
153,0.004731954775182829
154,-0.003946771481827877
155,0.004508371970492072
156,-0.004325041327446695
157,-0.004471030168271917
158,0.0011524890147594307
159,-0.0024427148772344824
160,0.0042491128688409655
161,0.002132831612674949
162,-0.004123308506702296
163,0.004516767689512058
164,0.0023014915896894554
165,-0.004073723975955094
166,-0.0031410170612749043
167,0.004129426235895257
168,-0.004373251406323607
169,-0.00039893090533671996
170,-0.003910754175992557
171,-0.0038801878505418455
172,-0.004375440752038552
173,-0.0005181334671419831
174,9.00014417207688e-06
175,-0.0043563832154495325
176,-0.0036545886978515737
177,-0.0019071092244846701
178,0.004255723163570248
179,0.003643808094611322
180,0.0029099895664485907
181,0.001737337409581842
182,0.0015983328886804518
183,0.0010963369555508124
184,-0.0019505248446612584
185,0.000579152745516842
186,0.0023653186524831425
187,0.000847756526499242
188,0.002744414819355131
189,0.004768039319714402
190,0.0010148045379644957
191,0.0035718410957754155
192,0.0040119654166054135
193,-0.0035221892994030915
194,0.0017472058529367522
195,0.002086730047164118
196,-0.0004112447063238856
197,-0.0038246927373564014
198,-0.004639626170692518
199,0.003774748363738914
200,-0.004151602966979406
201,-0.003437817200527915
202,0.0018602575749731213
203,-0.0037994664277829545
204,-0.004442305325438073
205,-0.0015300114920427398
206,-0.004295963257569688
207,0.0011452798241083622
208,-0.0019118404704636695
209,0.0024828782293170796
210,-0.0037850271408811937
211,0.0043645545010184104
212,0.0020012190045016896
213,-0.003814456594217847
214,-0.003369424660064773
215,-0.0029830149983828902
216,0.004389515924203324
217,0.0011913856820409754
218,-0.004669134410500671
219,0.004015929353407236
220,-0.004026129345544391
221,-0.004657912482470093
222,-0.003582379106555462
223,-0.0034376667528102168
224,-0.0020675846944828943
225,-0.003746870721994037
226,-0.003978097434070366
227,-0.004508855443303435
228,0.004009410391465496
229,0.0037676446112548064
230,0.0034076037466740736
231,-0.004789803880582289
232,0.004325406129654943
233,0.003984945486377707
234,0.0039670915782927686
235,-0.004493740693299976
236,0.00444110167327629
237,-0.004307736116225442
238,0.0019729235520463987
239,0.002684602960792968
240,-0.0007902996253394982
241,0.0024769372165410605
242,-0.0022035952119272514
243,0.0043256601244417514
244,-0.002342830478282355
245,0.0012551518118556276
246,-0.004487887458975308
247,-0.0007016593566410908
248,0.0031051211331280396
249,-0.004182500428893696
250,0.0037204108998093533
251,-0.0007648366908188555
252,0.003502456048476614
253,0.0038813763906281615
254,-0.004363573926388193
255,-0.0008434405360504554
256,0.0008610249830471677
257,0.004165383555516476
258,-0.00373803828990671
259,0.004475777547043462
260,-0.004613357499265678
261,-0.00035616622092343053
262,0.0019482267579469749
263,-0.0010823578412162858
264,0.0008662095245180728
265,0.0019843538381156827
266,-0.0002873035202096654
267,-0.0017875513829932706
268,-0.004359152614365189
269,-0.004522534244435935
270,0.0029665881369026416
271,-0.0035090267601494644
272,0.0044205883946299976
273,-0.0038494384233140866
274,-0.0035256327911952546
275,-0.0003743812050932119
276,-0.004646319771073448
277,-0.0031061466529052734
278,-0.0037226378017102724
279,0.002935839317974477
280,0.003413447289785342
281,-0.004074056333863753
282,-0.004092498680156457
283,-0.0015894703128523891
284,0.002946959264119813
285,0.0046274477402239635
286,-0.001924326202407926
287,-0.0025464528789316643
288,-0.0034052500497778024
289,0.004344435498567613
290,0.0037063439187964954
291,0.0035365868853797127
292,-0.003743559401332472
293,0.00445339321514676
294,-0.004465338284127297
295,-0.00012973211553199033
296,0.004164823344761059
297,-0.004016382226031093
298,-0.0008988876849922803
299,-0.0032883345831795645
300,0.0011060436982884008
301,-0.004444184345917467
302,-0.004428515555172501
303,-0.00470106166808956
304,0.0032173182317260752
305,-0.004420379648469158
306,-0.0038229997538325663
307,-0.0042962012250403955
308,0.0019806617182277523
309,0.0047518242540515185
310,0.00010036912265569073
311,0.004506555902654983
312,0.0017742722870641783
313,-0.003590170305087744
314,-0.0031212182032060707
315,0.004504577540979808
316,-0.003639843657608997
317,0.00374109368619921
318,-0.004585463572691551
319,-0.004328142475582895
320,0.004465576577301135
321,-0.004165376653853916
322,-0.003925343331496676
323,-0.00011240013017898946
324,-0.004649804767342077
325,0.0038094550861040295
326,-0.0018258027207111852
327,0.004479300779470549
328,0.0019266120169048535
329,0.004266895536901427
330,0.0019860540310508434
331,-0.003053919699002282
332,0.004433953163479465
333,-0.004220519691420589
334,0.00441112064277347
335,0.0022783540296093465
336,-0.004151872150730914
337,-0.0038146664135902237
338,0.004120930924409185
339,0.0026724336758144314
340,0.003410705078862883
341,0.0030766190988869113
342,-0.003352212132086953
343,-0.00457545908599882
344,-0.0032898552921883034
345,-0.004035564815362298
346,-0.00024605685294411923
347,0.002929475467293308
348,-0.0035141644817046607
349,-0.003547678017161457
350,0.004578008424945665
351,0.003880755889731529
352,-0.004671694461642445
353,0.002287107743639706
354,0.0043405104313103855
355,-0.0033227608651916303
356,-0.0011162533362416905
357,0.0023369920232722058
358,-0.0004277515612191959
359,0.004164292595611925
360,0.004504727378759706
361,0.003484153110309313
362,-0.003985461210437254
363,0.0026394305398117286
364,0.0009495170912644337
365,0.002214863271195601
366,0.0003270291377483325
367,-0.003955803041708705
368,-0.0008118928770679255
369,-0.003140131608772694
370,-0.00012363875587917427
371,-0.004308972194725322
372,0.004542296774965715
373,0.0046703452855462995
374,-0.003162322579202155
375,-0.003790413124220554
376,-0.0010455991700977054
377,0.004083217794119511
378,-0.004602236315815031
379,0.0002741070824313967
380,-0.0022447120930830238
381,-0.0045516169525075265
382,-0.004403643044997912
383,-0.004599858826465009
384,0.0005942918294636903
385,0.0003192932585780952
386,-0.00432553012466413
387,-0.0033992741188223667
388,-0.00034426819576068675
389,-0.004024657105459274
390,-0.004662720656215718
391,-0.003996358405321762
392,0.003129206985484006
393,-0.0036267456554080206
394,0.0013957087746457434
395,-0.0011850433995165854
396,-0.0037375262548016847
397,0.0029623186046754918
398,-0.0032990563469726983
399,0.0033224684004815887
400,0.004542851756812708
401,-0.00404360252630521
402,-0.004095007019230842
403,0.0035814184525334693
404,0.004492872569618664
405,0.0008439515435306921
406,-0.004034646580428489
407,-0.0035757624460022626
408,0.0030874005052074663
409,0.004137646649480418
410,0.0004946170227883562
411,0.0038934819116179455
412,0.0022520482243138583
413,-0.0027961360760675683
414,0.004548275761215648
415,0.0023298192299977052
416,0.0039071765445339805
417,-0.00282716754760038
418,0.0036223564821119755
419,0.004772958495831457
420,0.003308131746868858
421,-0.003966919087080685
422,0.004246319159026732
423,0.003880299149829981
424,0.0020047508002575794
425,0.003913643446585226
426,0.0004442721263730713
427,-0.001408061429932998
428,0.0046092359981251526
429,0.004548129560890775
430,0.0032685401315344182
431,-0.0006177539518603533
432,0.004054242697210081
433,0.0008090428146131197
434,0.004176068635518376
435,-0.003943502974334162
436,0.004269011620511408
437,0.004421117495138198
438,0.001563291794943779
439,0.003948769457503767
440,-0.000579125515598508
441,0.0038156308250916174
442,-0.004169854816104486
443,0.004013209291410069
444,0.00430633611172217
445,-0.004627903719962049
446,-0.004275699303435962
447,-0.004216144339106472
448,0.0029110226136474533
449,-0.0035262864125640784
450,0.0033053205448856935
451,-0.004623107793072413
452,-0.004594828365451674
453,-0.004389151263532574
454,-0.0033537343595430496
455,-0.0034808897045111773
456,-0.002016824712458466
457,0.0019430326058994549
458,-0.004077822070921259
459,-0.0006858129421812494
460,0.004325769704217333
461,0.00030491376005998053
462,0.0002741753476751995
463,0.0021830772049509853
464,0.00434403825089862
465,0.0021826298929584088
466,-0.0031979867415651547
467,-0.002507075746367009
468,-0.004115452059024049
469,-0.004416329093547229
470,-0.004258763657758572
471,-0.0038376624620932217
472,-0.00434284528619496
473,-0.0017040075366432995
474,0.004462334891094167
475,-0.004454127159116576
476,-0.0006422173001663978
477,-0.004305694771781752
478,0.003208753553400992
479,0.0022438272026010612
480,-0.0030574814445714373
481,-0.003475541243107952
482,-0.0028146461577454366
483,0.004267984246263921
484,-0.0038888076673133224
485,-0.004602790116100893
486,-0.004002073981577698
487,-0.0036920651378771516
488,-0.0005162171884635098
489,-0.003767716429065304
490,0.0036926586274104276
491,0.004397154829390006
492,-0.004621992304852948
493,0.0014879432320998305
494,-0.00017920808661955727
495,0.0029208019066306636
496,-0.0006549455811053801
497,0.004544396915985184
498,0.0043694642226643895
499,-0.004599293086247985
500,0.004491708990662748
501,-0.0018881731069913176
502,0.004677296772242106
503,0.004279424517674657
504,0.0018539631132251481
505,-0.0005231415732254265
506,-0.0037934542481277396
507,0.0037292104374929726
508,-0.004654601015126693
509,0.0013320172162066073
510,0.002525553360769108
511,-0.0026246905046186622
512,0.0023109860464290196
513,-0.003933085543617059
514,-0.004563796360562227
515,-0.004120657343452215
516,-0.0038131625915326798
517,0.003768291485663524
518,-0.004384286555734227
519,-0.0043529594676544
520,-0.0005275140261049527
521,0.001837739761598398
522,0.004522839410745151
523,-0.004476148696131303
524,-0.001177163094579548
525,-0.003314638137335371
526,-0.0002493149686711496
527,-0.003397484093614984
528,-0.0006243682457876123
529,-0.004371737373543705
530,0.004550060671017979
531,0.004147034513951731
532,-0.003493023194642172
533,0.004602978397163093
534,0.004480191184084143
535,-0.0036678907946516787
536,-0.0038087246550027832
537,0.0019484983285084287
538,0.0018287641824188683
539,-0.0028013915341653438
540,0.004521259449314486
541,-0.003982732137135848
542,-0.0034112234709818413
543,0.001185308801109469
544,-0.0009670951795566743
545,-0.003115277131167649
546,-0.00270915193316891
547,0.0030572140591622766
548,0.003117629835930119
549,-0.003449994577902826
550,-0.002259358390682775
551,0.003514065738969023
552,-0.004575319795081145
553,-0.0038637954241183734
554,-0.003761471534305315
555,0.003582037574346884
556,-0.003400148396784694
557,-0.003921487549844709
558,-0.0006252949373048569
559,-0.004217901549909359
560,0.003946892994487896
561,0.004664299679535549
562,-0.0045395138664457105
563,0.004622767263540238
564,0.004055788912012287
565,0.0048096878659690985
566,0.0033619530575425055
567,0.002280992802165896
568,-0.00383356899832376
569,-0.004462755063121108
570,-0.004059058597054528
571,0.003577813211311112
572,-0.003830549332688613
573,0.0026669379383219578
574,-0.0022839098175516403
575,-0.004087753866975802
576,0.00471578080760083
577,-0.0027320379430487126
578,-0.0041083153986245236
579,-0.0012856438034841312
580,0.0018877906128976758
581,0.004740909646618623
582,-0.0019052849413319476
583,-0.0043580030346426135
584,-0.0034994355676441023
585,0.00440568273805306
586,0.0036499889014193687
587,0.002080533057322894
588,0.004528812917699457
589,0.003106105376539272
590,0.003939953136387408
591,0.002871615997571227
592,0.004677932262845451
593,0.00452544873077124
594,-0.004521748264618131
595,0.004719186277469112
596,0.0042952755032352515
597,-0.004422272807955075
598,0.004070372151342785
599,0.0044862883736698405
600,0.0018052684727093752
601,-0.003418231830304522
602,0.0012909507120218806
603,-0.0042878057237444
604,0.0032097493162903715
605,-0.0021208086459775966
606,0.0033268554739283836
607,-0.0037315317511742215
608,-0.003918722078549502
609,-0.00364022984478605
610,-0.003101109135760772
611,-0.004340513181506367
612,-0.004104347674908057
613,-0.0025123170382108802
614,-0.0020988108931134057
615,0.0025286571970064963
616,-0.0045518885069310636
617,0.0030774675271052106
618,0.00438326146901573
619,0.004416986815528849
620,0.0038542513228293847
621,-0.0035113323825355152
622,0.0015736163112333482
623,-0.0044674286296009615
624,0.004088532168239477
625,-0.0015206855502618276
626,-0.0047054915020745755
627,0.0033954474184555226
628,0.0019232017551654614
629,0.003899722955047112
630,0.004230235217109432
631,0.0021952428761305974
632,-0.003254715163984787
633,0.004471921338522726
634,0.004191926151810341
635,0.0027037683829220687
636,-0.0022583829650014444
637,0.00401350574378292
638,0.004368224443168053
639,-0.004457216827889977
640,0.0006896338602982995
641,0.004093472537560746
642,0.004158213617785751
643,-0.0035137598553947437
644,7.77955602773737e-06
645,-0.004289305737086538
646,0.003107049618098478
647,-0.00221900421194252
648,-0.004441112277150629
649,0.004710306271844201
650,0.0034484435479686494
651,0.00042860847479720494
652,0.004101849175080868
653,-0.004184391334075957
654,-0.004192419630710951
655,0.004551384947385331
656,0.004208197284455649
657,0.0034679437547485443
658,0.0006310540058378834
659,-0.003061388905326976
660,-0.0034628291159341192
661,-0.004412266913420972
662,0.0012761622674890033
663,0.004160132696064962
664,0.0037227493555545737
665,0.004093518221025519
666,-0.00404847762679243
667,-0.00328120289080846
668,0.004296058348065847
669,-0.0045438882917938185
670,-0.0038759335634682727
671,-0.004645776132307884
672,-0.0022856970698196455
673,0.003957034990378132
674,-0.004479573963970827
675,0.0045833997155566245
676,-0.0016005796239527666
677,-0.003632654665413494
678,0.0045074827560988035
679,0.0015403408784054585
680,0.004230779377310852
681,0.0022099472654964376
682,-0.003974893050715902
683,-0.0015121104764163587
684,-0.004259034703350063
685,0.0027998447551335287
686,0.0040872409844573574
687,0.0030484972706602614
688,0.000982974220754665
689,0.003800411581645777
690,-0.0016122224007814852
691,0.004329829017048796
692,-0.0011615255204243191
